ds,y
2018-01-01,544.83
2018-01-02,457.3
2018-01-03,618.89
2018-01-04,650.0
2018-01-05,631.48
2018-01-06,792.56
2018-01-07,612.14
2018-01-08,577.6
2018-01-09,598.32
2018-01-10,524.13
2018-01-11,651.71
2018-01-12,829.31
2018-01-13,855.47
2018-01-14,621.58
2018-01-15,548.94
2018-01-16,422.72
2018-01-17,501.53
2018-01-18,377.38
2018-01-19,708.7
2018-01-20,721.71
2018-01-21,401.71
2018-01-22,356.73
2018-01-23,507.88
2018-01-24,400.81
2018-01-25,386.12
2018-01-26,603.26
2018-01-27,788.44
2018-01-28,492.31
2018-01-29,515.39
2018-01-30,537.43
2018-01-31,695.31
2018-02-01,512.05
2018-02-02,722.89
2018-02-03,815.98
2018-02-04,644.79
2018-02-05,696.87
2018-02-06,604.65
2018-02-07,549.65
2018-02-08,549.77
2018-02-09,862.49
2018-02-10,960.69
2018-02-11,631.97
2018-02-12,519.61
2018-02-13,573.48
2018-02-14,544.82
2018-02-15,532.9
2018-02-16,765.25
2018-02-17,794.64
2018-02-18,514.17
2018-02-19,450.99
2018-02-20,457.69
2018-02-21,477.78
2018-02-22,307.47
2018-02-23,599.45
2018-02-24,692.58
2018-02-25,388.27
2018-02-26,430.17
2018-02-27,587.68
2018-02-28,417.17
2018-03-01,583.95
2018-03-02,592.77
2018-03-03,821.52
2018-03-04,581.38
2018-03-05,633.61
2018-03-06,659.51
2018-03-07,678.88
2018-03-08,596.69
2018-03-09,792.78
2018-03-10,999.39
2018-03-11,612.22
2018-03-12,518.18
2018-03-13,518.55
2018-03-14,521.38
2018-03-15,617.82
2018-03-16,770.65
2018-03-17,894.63
2018-03-18,485.13
2018-03-19,512.57
2018-03-20,531.99
2018-03-21,441.53
2018-03-22,490.1
2018-03-23,591.4
2018-03-24,710.02
2018-03-25,407.39
2018-03-26,345.36
2018-03-27,487.2
2018-03-28,421.73
2018-03-29,474.71
2018-03-30,729.39
2018-03-31,845.95
2018-04-01,584.04
2018-04-02,543.96
2018-04-03,538.56
2018-04-04,585.34
2018-04-05,473.95
2018-04-06,707.59
2018-04-07,828.59
2018-04-08,561.84
2018-04-09,676.7
2018-04-10,571.15
2018-04-11,608.04
2018-04-12,733.02
2018-04-13,787.87
2018-04-14,959.7
2018-04-15,508.07
2018-04-16,546.9
2018-04-17,467.25
2018-04-18,496.27
2018-04-19,571.83
2018-04-20,549.53
2018-04-21,808.19
2018-04-22,481.44
2018-04-23,407.59
2018-04-24,336.21
2018-04-25,458.65
2018-04-26,415.7
2018-04-27,685.85
2018-04-28,781.78
2018-04-29,624.08
2018-04-30,495.14
2018-05-01,452.46
2018-05-02,569.59
2018-05-03,593.76
2018-05-04,904.94
2018-05-05,981.37
2018-05-06,659.02
2018-05-07,760.33
2018-05-08,557.34
2018-05-09,606.44
2018-05-10,584.48
2018-05-11,824.19
2018-05-12,837.95
2018-05-13,687.87
2018-05-14,605.01
2018-05-15,488.23
2018-05-16,505.86
2018-05-17,592.33
2018-05-18,814.22
2018-05-19,987.48
2018-05-20,742.91
2018-05-21,527.29
2018-05-22,402.25
2018-05-23,301.64
2018-05-24,488.33
2018-05-25,600.75
2018-05-26,735.66
2018-05-27,427.13
2018-05-28,475.88
2018-05-29,586.84
2018-05-30,531.35
2018-05-31,525.39
2018-06-01,675.82
2018-06-02,745.71
2018-06-03,561.37
2018-06-04,615.27
2018-06-05,778.23
2018-06-06,661.64
2018-06-07,740.88
2018-06-08,829.53
2018-06-09,877.77
2018-06-10,594.23
2018-06-11,608.13
2018-06-12,827.22
2018-06-13,578.51
2018-06-14,695.63
2018-06-15,738.38
2018-06-16,965.71
2018-06-17,601.9
2018-06-18,538.71
2018-06-19,529.2
2018-06-20,463.18
2018-06-21,536.98
2018-06-22,653.87
2018-06-23,684.93
2018-06-24,377.52
2018-06-25,494.54
2018-06-26,612.24
2018-06-27,507.89
2018-06-28,498.4
2018-06-29,746.66
2018-06-30,946.63
2018-07-01,579.74
2018-07-02,550.23
2018-07-03,692.52
2018-07-04,658.36
2018-07-05,765.28
2018-07-06,872.98
2018-07-07,873.16
2018-07-08,570.84
2018-07-09,817.55
2018-07-10,824.35
2018-07-11,668.87
2018-07-12,645.28
2018-07-13,981.83
2018-07-14,862.08
2018-07-15,562.17
2018-07-16,666.43
2018-07-17,563.53
2018-07-18,574.61
2018-07-19,542.52
2018-07-20,764.66
2018-07-21,934.58
2018-07-22,516.52
2018-07-23,551.58
2018-07-24,330.76
2018-07-25,489.74
2018-07-26,429.28
2018-07-27,606.45
2018-07-28,744.74
2018-07-29,502.69
2018-07-30,619.91
2018-07-31,459.82
2018-08-01,588.97
2018-08-02,568.81
2018-08-03,801.91
2018-08-04,1027.65
2018-08-05,707.69
2018-08-06,786.06
2018-08-07,677.75
2018-08-08,641.65
2018-08-09,682.51
2018-08-10,918.69
2018-08-11,1008.13
2018-08-12,598.04
2018-08-13,679.32
2018-08-14,674.67
2018-08-15,839.87
2018-08-16,769.19
2018-08-17,730.7
2018-08-18,856.11
2018-08-19,443.24
2018-08-20,496.16
2018-08-21,554.4
2018-08-22,614.59
2018-08-23,452.51
2018-08-24,655.27
2018-08-25,636.81
2018-08-26,500.76
2018-08-27,437.95
2018-08-28,493.39
2018-08-29,481.5
2018-08-30,562.46
2018-08-31,649.43
2018-09-01,793.6
2018-09-02,802.21
2018-09-03,548.92
2018-09-04,582.53
2018-09-05,833.13
2018-09-06,931.38
2018-09-07,814.42
2018-09-08,983.87
2018-09-09,741.64
2018-09-10,849.38
2018-09-11,624.84
2018-09-12,673.15
2018-09-13,740.69
2018-09-14,896.39
2018-09-15,912.73
2018-09-16,612.25
2018-09-17,492.88
2018-09-18,564.39
2018-09-19,544.2
2018-09-20,568.41
2018-09-21,692.7
2018-09-22,865.64
2018-09-23,603.64
2018-09-24,533.93
2018-09-25,552.73
2018-09-26,536.06
2018-09-27,542.85
2018-09-28,699.55
2018-09-29,899.81
2018-09-30,586.01
2018-10-01,781.83
2018-10-02,761.26
2018-10-03,686.85
2018-10-04,614.24
2018-10-05,803.51
2018-10-06,1102.22
2018-10-07,738.99
2018-10-08,763.59
2018-10-09,588.71
2018-10-10,801.34
2018-10-11,758.21
2018-10-12,823.81
2018-10-13,962.21
2018-10-14,705.36
2018-10-15,670.52
2018-10-16,623.52
2018-10-17,618.54
2018-10-18,586.79
2018-10-19,800.37
2018-10-20,988.99
2018-10-21,351.67
2018-10-22,527.03
2018-10-23,552.81
2018-10-24,559.14
2018-10-25,506.69
2018-10-26,601.09
2018-10-27,877.04
2018-10-28,701.79
2018-10-29,456.79
2018-10-30,666.96
2018-10-31,591.62
2018-11-01,831.42
2018-11-02,978.96
2018-11-03,1162.38
2018-11-04,1017.33
2018-11-05,981.61
2018-11-06,1092.09
2018-11-07,1062.51
2018-11-08,1014.2
2018-11-09,1325.07
2018-11-10,1322.88
2018-11-11,1052.06
2018-11-12,956.35
2018-11-13,976.33
2018-11-14,903.44
2018-11-15,1024.66
2018-11-16,1036.33
2018-11-17,1277.98
2018-11-18,885.51
2018-11-19,981.23
2018-11-20,936.55
2018-11-21,1013.95
2018-11-22,922.0
2018-11-23,936.83
2018-11-24,1160.37
2018-11-25,779.23
2018-11-26,842.81
2018-11-27,1020.19
2018-11-28,968.6
2018-11-29,882.68
2018-11-30,1080.47
2018-12-01,1288.36
2018-12-02,912.91
2018-12-03,980.5
2018-12-04,1081.72
2018-12-05,1169.57
2018-12-06,1143.33
2018-12-07,1125.32
2018-12-08,1443.03
2018-12-09,1130.28
2018-12-10,1159.13
2018-12-11,1252.54
2018-12-12,951.39
2018-12-13,1058.74
2018-12-14,1339.81
2018-12-15,1250.15
2018-12-16,1177.28
2018-12-17,1070.43
2018-12-18,1090.56
2018-12-19,959.99
2018-12-20,1055.37
2018-12-21,1262.86
2018-12-22,1286.25
2018-12-23,980.23
2018-12-24,980.91
2018-12-25,892.12
2018-12-26,955.36
2018-12-27,964.82
2018-12-28,1221.05
2018-12-29,1386.71
2018-12-30,940.73
2018-12-31,1035.66
2019-01-01,805.64
2019-01-02,647.68
2019-01-03,659.74
2019-01-04,957.61
2019-01-05,1121.78
2019-01-06,764.31
2019-01-07,874.9
2019-01-08,838.11
2019-01-09,833.68
2019-01-10,803.37
2019-01-11,1134.23
2019-01-12,1017.34
2019-01-13,556.57
2019-01-14,826.41
2019-01-15,641.59
2019-01-16,666.76
2019-01-17,743.46
2019-01-18,692.58
2019-01-19,804.96
2019-01-20,464.27
2019-01-21,519.64
2019-01-22,613.05
2019-01-23,618.68
2019-01-24,601.94
2019-01-25,674.03
2019-01-26,713.29
2019-01-27,616.87
2019-01-28,592.0
2019-01-29,685.79
2019-01-30,725.78
2019-01-31,701.71
2019-02-01,972.04
2019-02-02,1048.87
2019-02-03,790.16
2019-02-04,705.8
2019-02-05,758.85
2019-02-06,796.17
2019-02-07,849.17
2019-02-08,950.9
2019-02-09,1118.8
2019-02-10,746.63
2019-02-11,745.78
2019-02-12,805.88
2019-02-13,562.13
2019-02-14,598.43
2019-02-15,763.49
2019-02-16,775.51
2019-02-17,589.16
2019-02-18,686.48
2019-02-19,589.46
2019-02-20,617.05
2019-02-21,681.08
2019-02-22,896.92
2019-02-23,886.16
2019-02-24,705.16
2019-02-25,613.42
2019-02-26,551.86
2019-02-27,587.2
2019-02-28,534.66
2019-03-01,802.1
2019-03-02,965.42
2019-03-03,779.26
2019-03-04,872.68
2019-03-05,642.8
2019-03-06,800.71
2019-03-07,698.83
2019-03-08,1029.23
2019-03-09,1085.95
2019-03-10,650.95
2019-03-11,868.45
2019-03-12,738.5
2019-03-13,733.16
2019-03-14,676.02
2019-03-15,892.37
2019-03-16,1060.15
2019-03-17,690.92
2019-03-18,712.27
2019-03-19,695.51
2019-03-20,754.27
2019-03-21,605.52
2019-03-22,702.08
2019-03-23,996.4
2019-03-24,579.21
2019-03-25,693.77
2019-03-26,638.37
2019-03-27,604.42
2019-03-28,653.85
2019-03-29,996.46
2019-03-30,1123.75
2019-03-31,682.44
2019-04-01,710.3
2019-04-02,804.6
2019-04-03,671.43
2019-04-04,785.03
2019-04-05,973.54
2019-04-06,1115.14
2019-04-07,734.4
2019-04-08,681.12
2019-04-09,645.54
2019-04-10,720.86
2019-04-11,768.27
2019-04-12,972.3
2019-04-13,1238.01
2019-04-14,855.85
2019-04-15,672.46
2019-04-16,757.82
2019-04-17,677.35
2019-04-18,667.31
2019-04-19,886.1
2019-04-20,1003.91
2019-04-21,612.97
2019-04-22,714.19
2019-04-23,530.44
2019-04-24,619.07
2019-04-25,827.36
2019-04-26,842.58
2019-04-27,1048.56
2019-04-28,654.02
2019-04-29,709.07
2019-04-30,676.42
2019-05-01,687.37
2019-05-02,659.56
2019-05-03,977.25
2019-05-04,994.75
2019-05-05,834.48
2019-05-06,883.96
2019-05-07,839.25
2019-05-08,796.21
2019-05-09,860.6
2019-05-10,1000.58
2019-05-11,1196.89
2019-05-12,668.24
2019-05-13,776.88
2019-05-14,630.19
2019-05-15,652.96
2019-05-16,862.89
2019-05-17,1005.53
2019-05-18,956.28
2019-05-19,574.2
2019-05-20,439.31
2019-05-21,617.32
2019-05-22,841.72
2019-05-23,673.67
2019-05-24,788.82
2019-05-25,969.66
2019-05-26,510.67
2019-05-27,618.98
2019-05-28,661.76
2019-05-29,661.34
2019-05-30,748.71
2019-05-31,932.32
2019-06-01,1078.8
2019-06-02,691.29
2019-06-03,838.77
2019-06-04,916.56
2019-06-05,725.85
2019-06-06,746.87
2019-06-07,1135.79
2019-06-08,1120.83
2019-06-09,951.54
2019-06-10,802.7
2019-06-11,949.22
2019-06-12,834.13
2019-06-13,831.55
2019-06-14,1120.4
2019-06-15,1048.34
2019-06-16,682.57
2019-06-17,701.89
2019-06-18,754.1
2019-06-19,573.87
2019-06-20,733.23
2019-06-21,824.86
2019-06-22,1048.76
2019-06-23,458.11
2019-06-24,583.49
2019-06-25,512.49
2019-06-26,586.48
2019-06-27,681.57
2019-06-28,860.22
2019-06-29,970.19
2019-06-30,696.08
2019-07-01,745.13
2019-07-02,669.09
2019-07-03,827.23
2019-07-04,843.74
2019-07-05,1039.89
2019-07-06,1169.51
2019-07-07,861.5
2019-07-08,1009.77
2019-07-09,845.17
2019-07-10,828.56
2019-07-11,789.61
2019-07-12,960.02
2019-07-13,1032.02
2019-07-14,746.21
2019-07-15,794.76
2019-07-16,808.38
2019-07-17,765.86
2019-07-18,680.45
2019-07-19,994.27
2019-07-20,1063.47
2019-07-21,675.88
2019-07-22,623.7
2019-07-23,710.6
2019-07-24,676.48
2019-07-25,544.46
2019-07-26,857.97
2019-07-27,991.58
2019-07-28,609.68
2019-07-29,711.27
2019-07-30,596.92
2019-07-31,839.5
2019-08-01,853.02
2019-08-02,954.01
2019-08-03,1123.87
2019-08-04,621.3
2019-08-05,738.8
2019-08-06,822.24
2019-08-07,771.01
2019-08-08,921.14
2019-08-09,1226.87
2019-08-10,1071.83
2019-08-11,793.67
2019-08-12,870.3
2019-08-13,967.63
2019-08-14,725.29
2019-08-15,825.06
2019-08-16,1131.41
2019-08-17,933.49
2019-08-18,643.28
2019-08-19,693.09
2019-08-20,668.44
2019-08-21,760.82
2019-08-22,704.12
2019-08-23,735.5
2019-08-24,1015.5
2019-08-25,629.05
2019-08-26,782.39
2019-08-27,639.4
2019-08-28,651.48
2019-08-29,761.6
2019-08-30,997.7
2019-08-31,1092.56
2019-09-01,642.78
2019-09-02,841.58
2019-09-03,735.84
2019-09-04,855.76
2019-09-05,738.94
2019-09-06,1101.35
2019-09-07,1110.29
2019-09-08,777.38
2019-09-09,938.09
2019-09-10,897.08
2019-09-11,821.34
2019-09-12,975.53
2019-09-13,1009.91
2019-09-14,1130.84
2019-09-15,831.0
2019-09-16,740.05
2019-09-17,807.23
2019-09-18,707.44
2019-09-19,699.24
2019-09-20,1025.52
2019-09-21,920.54
2019-09-22,501.56
2019-09-23,818.17
2019-09-24,892.11
2019-09-25,658.84
2019-09-26,543.52
2019-09-27,884.68
2019-09-28,1001.04
2019-09-29,725.96
2019-09-30,671.39
2019-10-01,827.41
2019-10-02,844.02
2019-10-03,703.1
2019-10-04,1097.88
2019-10-05,1323.38
2019-10-06,887.35
2019-10-07,857.65
2019-10-08,880.49
2019-10-09,944.16
2019-10-10,755.36
2019-10-11,1101.67
2019-10-12,1148.08
2019-10-13,1014.42
2019-10-14,837.0
2019-10-15,966.42
2019-10-16,725.26
2019-10-17,840.46
2019-10-18,999.17
2019-10-19,985.31
2019-10-20,752.13
2019-10-21,820.67
2019-10-22,686.74
2019-10-23,570.0
2019-10-24,700.72
2019-10-25,830.92
2019-10-26,980.9
